likes,dislikes,views,comment_count,category_id
40.73,1.84,4960.26,4.25,10.0
4084.61,65.16,119798.05,179.64,10.0
3884.01,43.47,191524.27,263.01,10.0
96.98,1.93,2911.11,9.4,10.0
304.13,30.46,12162.34,46.63,10.0
86.87,34.74,17349.07,26.39,10.0
161.87,15.54,2785.34,33.74,10.0
773.11,21.83,21540.17,100.59,10.0
340.91,46.83,11167.96,54.85,10.0
623.8,2.22,9327.65,40.88,10.0
2194.32,6.85,26459.26,448.01,10.0
33.45,1.14,5064.42,4.18,10.0
3.87,0.44,11177.18,0.18,10.0
774.96,90.17,39384.68,102.02,10.0
40.92,1.85,4998.0,4.27,10.0
486.9,17.16,12339.55,24.53,10.0
3914.29,44.0,195153.45,265.36,10.0
97.44,1.94,2935.67,9.41,10.0
305.25,30.53,12248.85,46.81,10.0
191.09,79.38,38469.82,56.64,10.0
810.69,23.99,23680.98,105.59,10.0
174.38,18.77,3204.6,36.94,10.0
356.83,48.98,11903.88,52.05,10.0
683.17,2.68,10804.27,44.4,10.0
2222.99,7.11,27402.58,452.86,10.0
35.21,1.29,5181.99,4.75,10.0
3.91,0.44,11192.84,0.18,10.0
781.5,91.33,39954.03,102.83,10.0
41.18,1.85,5037.99,4.27,10.0
3940.32,44.5,198545.31,267.01,10.0
306.24,30.56,12325.87,46.84,10.0
247.23,100.86,55632.98,70.62,10.0
182.37,20.26,3492.88,38.57,10.0
839.44,25.46,25592.84,108.45,10.0
366.71,50.59,12391.52,53.49,10.0
732.83,2.87,12151.98,47.57,10.0
2246.43,7.36,28334.81,458.28,10.0
36.24,1.34,5279.33,4.94,10.0
3.95,0.44,11202.27,0.18,10.0
789.82,92.99,40694.46,104.09,10.0
41.29,1.85,5071.21,4.32,10.0
3968.28,45.18,202399.33,268.76,10.0
307.53,30.61,12421.6,46.91,10.0
278.61,112.78,69954.55,78.93,10.0
855.68,26.67,26955.77,111.23,10.0
187.77,21.05,3668.8,39.54,10.0
374.32,51.8,12773.99,54.53,10.0
773.7,3.22,13378.08,50.29,10.0
2262.27,7.52,29020.35,461.2,10.0
37.15,1.39,5377.01,5.17,10.0
800.01,94.83,41605.22,105.25,10.0
3994.92,45.84,205859.28,271.0,10.0
65.29,63.16,16134.98,0.0,10.0
27.87,0.66,560.72,2.35,10.0
297.92,120.49,82253.49,85.3,10.0
864.41,27.36,27819.48,113.23,10.0
191.71,21.47,3797.69,40.31,10.0
378.14,52.33,12996.56,55.58,10.0
804.41,3.46,14454.32,51.92,10.0
2270.47,7.63,29391.79,462.98,10.0
37.89,1.46,5456.74,5.25,10.0
807.45,96.26,42296.29,106.65,10.0
66.97,66.71,16399.97,0.0,10.0
33.1,0.9,792.05,2.79,10.0
309.09,124.18,84116.39,88.56,10.0
876.78,27.98,28956.96,114.48,10.0
194.94,21.75,3900.56,40.83,10.0
385.02,53.27,13451.06,56.52,10.0
832.65,3.73,15462.52,53.39,10.0
2276.54,7.71,29678.12,464.17,10.0
38.56,1.49,5528.01,5.34,10.0
815.83,97.6,43066.65,107.47,10.0
716.28,18.56,14248.38,67.33,10.0
67.9,68.5,16546.18,0.0,10.0
35.57,1.1,965.99,2.94,10.0
315.3,126.83,85388.82,90.94,10.0
197.12,22.0,3978.63,41.79,10.0
387.27,53.58,13562.54,56.32,10.0
857.03,4.05,16432.04,55.52,10.0
2283.03,7.77,29972.25,466.26,10.0
38.94,1.51,5577.19,5.43,10.0
821.92,98.81,43650.5,108.92,10.0
510.86,8.64,11527.19,45.33,10.0
762.09,22.16,16079.07,71.24,10.0
98.7,1.34,5238.03,3.87,10.0
68.01,68.8,16583.36,0.0,10.0
37.11,1.16,1017.34,2.97,10.0
319.22,128.31,86316.78,92.63,10.0
199.03,22.27,4050.93,42.3,10.0
388.59,53.76,13646.74,56.53,10.0
